id,abbreviation,category,generation,name,checksum,alternative_name,platform_family
93,C16,6.0,,Commodore 16,8899c810-28ef-53c8-b563-0965c7efba3d,C16,
96,pdp10,6.0,,PDP-10,aadf131a-55fe-8481-d377-8c6eefe18415,,
161,,,,Windows Mixed Reality,9f7bb157-24f5-f7da-d05a-f0ca17c99cbe,WMR,
479,,1.0,,Terebikko / See 'n Say Video Phone,44c903a8-278f-ecc2-cace-9e5d9b658ab7,,
167,PS5,1.0,9.0,PlayStation 5,dc250ebc-8395-4aa1-0459-f4f592b50a33,PS5,1.0
50,3DO,1.0,5.0,3DO Interactive Multiplayer,87213d2d-1406-71e3-dc09-8f2352937191,3DO,
137,,5.0,8.0,New Nintendo 3DS,10d2d57e-e40a-94d2-842a-c1de7ddd2f29,n3DS,5.0
64,SMS,1.0,3.0,Sega Master System/Mark III,bdc235e9-0e6d-f73f-a420-cfa7935af434,"SMS, Mark III",3.0
274,,1.0,5.0,PC-FX,a880243d-9f81-4fcf-fdf7-da0fe028be95,,
309,,5.0,8.0,Evercade,72d87cd7-74b9-751a-b6ad-dfc2e552064b,,
381,,5.0,9.0,Playdate,45e16d52-5a6f-04ec-0394-46855ef4025b,,
95,pdp1,6.0,,PDP-1,f5fdcfb5-aaaa-1af3-98d1-ffb5cb063a18,Programmed Data Processor-1,
110,plato,6.0,,PLATO,46476609-7e40-6759-25f6-daecc85fb708,Programmed Logic for Automatic Teaching Operations,
372,,3.0,,OOParts,3af6eea3-3715-3a44-7bd3-be2823e1f6eb,,
378,,5.0,4.0,Gamate,dbcba469-1770-894a-1212-28cd373558be,Super Boy,
380,,1.0,,Casio Loopy,f450d962-bb4e-20e4-0502-2fe83f727922,Loopy,
100,analogueelectronics,,,Analogue electronics,01951a13-ac9d-9f80-2b02-f9a818d83326,,
478,,1.0,6.0,Panasonic M2,b36676c6-5e7f-41ca-46ec-59f6898fe5a1,,
236,,6.0,,Exidy Sorcerer,49bd449a-ff99-0083-8954-5812a35c1c5c,,
26,ZXS,6.0,,ZX Spectrum,f73944f5-3aee-6709-e02f-ed9b896a85cc,,
102,edsac,6.0,,EDSAC,60d0cce1-2d5c-720a-da36-96be6f562d2d,Electronic Delay Storage Automatic Calculator,
103,pdp-7,,,PDP-7,e828d5a4-68ad-b75c-dc50-f8ea7df31036,,
27,MSX,6.0,,MSX,7954204a-0502-4940-48c1-d525148f76fd,,
104,hp2100,6.0,,HP 2100,17f8a2f3-c014-058a-2827-375e11bcb851,,
166,,5.0,,Pokémon mini,9ea7c3e7-d03a-b228-b380-5bb17ea9be9f,,5.0
105,hp3000,6.0,,HP 3000,d4ac96e8-e4ba-b0dc-22ac-22b73d19ba83,,
106,sdssigma7,6.0,,SDS Sigma 7,2b8bbf36-b6ff-0242-80f4-7d1c6a0423e0,,
37,3DS,5.0,8.0,Nintendo 3DS,fcba030b-8aa7-540b-2990-253369822ce0,3DS,5.0
38,PSP,5.0,7.0,PlayStation Portable,4e0f4cb0-f3c4-6884-f159-de678ead05f5,PSP,1.0
107,call-a-computer,6.0,,Call-A-Computer time-shared mainframe computer system,47311af8-783b-05f5-0d26-0848d099a399,,
151,,6.0,,TRS-80 Color Computer,9bd8e911-be9c-a1ad-d8a9-fbf2888cf9ff,Tandy Color Computer,
164,,,,Daydream,1f46c07d-381d-e92f-1b49-88d04abe2f19,,
169,Series X|S,1.0,9.0,Xbox Series X|S,543219c5-9d0b-9c01-2cb6-efca77105f45,XSX,2.0
203,,,,DUPLICATE Stadia,12366451-f4e4-cf5c-f0a5-082805b2ff86,,
238,,1.0,,DVD Player,5a8e8d2e-b79e-37a9-7368-e3acbd6407f7,Digital Versatile Disc Player,
239,,1.0,,Blu-ray Player,57f6c9cb-871e-d913-c5e9-9204991a94e7,,
240,,1.0,7.0,Zeebo,d23d6c26-1eb4-4ff6-2e33-93bd082ec6d9,,
386,Meta Quest 2,1.0,,Meta Quest 2,fb20fada-1ac3-a056-fe69-684ac0458e77,Quest 2,
99,famicom,1.0,3.0,Family Computer,097942bd-6551-718d-f932-1c840b246a13,Famicom,5.0
165,PSVR,1.0,8.0,PlayStation VR,49fc429c-d40f-c686-2f37-2fa1074eb64f,PSVR,1.0
405,,4.0,,Windows Mobile,ba5cda89-aa99-fae3-0ee1-22afb9b2e8ea,Pocket PC,
389,,3.0,,AirConsole,3382e798-f9c3-44ee-7356-127c707e704f,,
390,PSVR2,1.0,9.0,PlayStation VR2,6a608ba4-de2e-2fd3-4c7b-5b231cdb1244,PSVR2,1.0
406,,6.0,,Sinclair QL,7dd342cb-88a6-d5c8-065a-8bc8119a4496,Sinclair Quantum Leap,
407,,1.0,7.0,HyperScan,e9990379-85ca-9401-9f1e-003ee0f0da99,,
